﻿Konu,Soru,Gerçek_Cevap,ChatGPT_Cevap    
Diğer Algoritmalar ve Teknikler,IPSec (Internet Protocol Security) nedir?,IP protokolünün doğasında olmayan şifreleme ve veri bütünlüğü gibi güvenlik özelliklerini sağlayan bir çerçevedir.,"IPSec, IP ağları üzerinden güvenli veri iletimi sağlamak için kullanılan bir protokoller kümesidir ve veri bütünlüğü, gizliliği ve kimlik doğrulama sağlar. Ağ katmanında çalışarak, hem tünel hem de taşıma modunda kullanılabilir."
Diğer Algoritmalar ve Teknikler,IPSec hangi katmanlar arasında güvenlik sağlar?,Kaynak ile hedef arasında 4. katman ile 7. katman arasındaki protokollerin gizliliği ve bütünlüğünü sağlar.,"IPSec, ağ katmanı (Layer 3) üzerinde çalışarak ağ katmanı ve üstündeki katmanlar arasında güvenlik sağlar."
Diğer Algoritmalar ve Teknikler,IPSec çerçevesi hangi temel güvenlik fonksiyonlarını sunar?,"Gizlilik (Şifreleme), Bütünlük (Hash), Kimlik Doğrulama (IKE) ve Güvenli Anahtar Değişimi (Diffie-Hellman).","IPSec çerçevesi, veri gizliliği için şifreleme, veri bütünlüğü için kimlik doğrulama ve yeniden oynatma saldırılarına karşı koruma sağlar. Ayrıca, kimlik doğrulama başlığı (AH) ve kapsülleme güvenlik yükü (ESP) protokolleri aracılığıyla kimlik doğrulama ve gizlilik sunar."
Diğer Algoritmalar ve Teknikler,IPSec mimarisinde AH (Authentication Header) ne işe yarar?,"Paketlerin kimlik doğrulamasını ve bütünlüğünü sağlar, ancak şifreleme (gizlilik) sağlamaz.","IPSec mimarisinde AH (Authentication Header), veri paketlerinin kimlik doğrulamasını ve bütünlüğünü sağlamak için kullanılır, ancak veri gizliliği sağlamaz. AH, paketin kaynağının doğruluğunu ve içeriğinin değiştirilmediğini garanti eder."
Diğer Algoritmalar ve Teknikler,IPSec mimarisinde ESP (Encapsulating Security Payload) ne işe yarar?,"Veri gizliliği (şifreleme), veri bütünlüğü ve kimlik doğrulama hizmetlerini bir arada sunabilir.","ESP (Encapsulating Security Payload), IPSec mimarisinde veri paketlerinin gizliliğini, bütünlüğünü ve kaynağının doğrulanmasını sağlamak için kullanılır. Şifreleme ve kimlik doğrulama mekanizmaları ile veriyi koruyarak güvenli bir iletişim sağlar."
Diğer Algoritmalar ve Teknikler,IPSec yapısında IKE ne için kullanılır?,İnternet Anahtar Değişimi (Internet Key Exchange) protokolüdür ve kimlik doğrulama işlemleri için kullanılır.,"IPSec yapısında IKE (Internet Key Exchange), güvenli bir iletişim kanalı oluşturmak için gerekli olan kriptografik anahtarların değişimini ve yönetimini sağlar. Ayrıca, iki taraf arasında kimlik doğrulama ve güvenlik ilişkilendirmelerinin (SA) kurulmasını gerçekleştirir."
Diğer Algoritmalar ve Teknikler,Sanal Özel Ağ (VPN) yapılarında neden IPSec kullanılır?,İnternet üzerinden güvenli bir tünel oluşturmak ve verilerin şifreli ve bütünlüğü bozulmadan iletilmesini sağlamak için kullanılır.,"IPSec, VPN yapılarında veri gizliliği, bütünlüğü ve kimlik doğrulaması sağlamak için kullanılır; bu, veri paketlerinin şifrelenmesi ve güvenli bir şekilde iletilmesi için kritik öneme sahiptir. Ayrıca, IPSec, ağ katmanında çalışarak farklı ağ protokollerini destekler ve esnek bir güvenlik çözümü sunar."
Şifreleme Uygulamaları,Parolalar veritabanında neden açık metin olarak saklanmaz?,Veritabanı ele geçirilirse kullanıcıların parolalarının doğrudan açığa çıkmasını önlemek için özetlenerek (hashlenerek) saklanır.,"Parolalar veritabanında açık metin olarak saklanmaz çünkü bu, bir veri ihlali durumunda kullanıcı hesaplarının kolayca ele geçirilmesine yol açar. Bunun yerine, parolalar genellikle hash algoritmaları kullanılarak şifrelenir, böylece parolanın orijinal hali geri döndürülemez ve güvenlik artırılır."
Siber Saldırılar,Siber saldırı nedir?,"Tehdit aktörleri tarafından bilişim sistemleri kullanılarak sistemleri devre dışı bırakmayı, verileri çalmayı veya sistemi aracı olarak kullanmayı amaçlayan saldırılardır.","Siber saldırı, bir bilgisayar sistemi, ağ veya cihazın güvenliğini ihlal etmek amacıyla gerçekleştirilen kötü niyetli bir girişimdir. Bu saldırılar, veri çalmak, sistemleri bozmak veya kontrol altına almak gibi amaçlarla yapılabilir."
Siber Saldırılar,IETF RFC 2828'e göre siber saldırı nasıl tanımlanır?,Güvenlik hizmetlerinden kaçmak ve bir sistemin güvenlik politikasını ihlal etmek için yapılan kasıtlı ve akıllı bir girişimdir.,"IETF RFC 2828'e göre siber saldırı, bir sistemin güvenlik politikasını ihlal etmeye veya sistemin güvenlik hizmetlerini zayıflatmaya yönelik kasıtlı bir girişimdir. Bu, yetkisiz erişim, veri manipülasyonu veya hizmet kesintisi gibi eylemleri içerebilir."
Siber Saldırılar,Siber saldırıların sınıflandırılmasında IETF'e göre hangi iki ana tür vardır?,Aktif saldırılar ve pasif saldırılar olmak üzere ikiye ayrılır.,"IETF'e göre siber saldırılar iki ana türe ayrılır: ""Aktif Saldırılar"" ve ""Pasif Saldırılar"". Aktif saldırılar, sistem kaynaklarına zarar verme veya değiştirme amacı taşırken, pasif saldırılar bilgi dinleme veya izleme amacı güder."
Siber Saldırılar,Aktif saldırıların temel amacı nedir?,Sistem kaynaklarını değiştirmeye veya sistemin işleyişini değiştirmeye yönelik saldırılardır.,"Aktif saldırıların temel amacı, hedef sistem veya ağ üzerinde doğrudan değişiklikler yaparak veri bütünlüğünü, gizliliğini veya kullanılabilirliğini bozmak ya da yetkisiz erişim elde etmektir. Bu tür saldırılar, veri manipülasyonu, hizmet kesintisi veya kimlik doğrulama süreçlerinin atlatılması gibi eylemleri içerir."
Siber Saldırılar,Pasif saldırıların temel amacı nedir?,Sistem kaynaklarını etkilemeden sistemi gözlemlemeye ve bilgi toplamaya yönelik saldırılardır.,"Pasif saldırıların temel amacı, hedef sistem veya ağ üzerinde herhangi bir değişiklik yapmadan, gizlice veri dinlemek veya bilgi toplamak suretiyle hassas bilgileri ele geçirmektir."
Ağ Saldırısı - Keşif,Ağ saldırıları hangi üç ana başlık altında incelenir?,"Keşif saldırısı, erişim saldırısı ve DoS saldırıları olarak incelenir.","Ağ saldırıları genellikle üç ana başlık altında incelenir: Servis Dışı Bırakma Saldırıları (DoS/DDoS), Yetkisiz Erişim Saldırıları ve Ortadaki Adam (MitM) Saldırıları."
Ağ Saldırısı - Keşif,Keşif saldırısının (Reconnaissance attack) amacı nedir?,Hedef sistem hakkında bilgi toplamaktır ve genellikle yapılandırılmış profesyonel bir saldırının ilk aşamasıdır.,"Keşif saldırısının amacı, hedef sistem veya ağ hakkında bilgi toplamak ve zayıf noktaları belirleyerek daha sonraki saldırılar için zemin hazırlamaktır. Bu tür saldırılar, ağ topolojisi, açık portlar, kullanılan hizmetler ve güvenlik açıkları gibi bilgileri elde etmeye odaklanır."
Ağ Saldırısı - Keşif,Ping taraması ne amaçla yapılır?,Hedef ağda hangi IP adreslerinin aktif olduğunu tespit etmek amacıyla yapılır.,"Ping taraması, bir ağdaki aktif cihazları tespit etmek ve bu cihazların erişilebilirliğini kontrol etmek amacıyla yapılır. Ayrıca, ağ gecikme sürelerini ölçmek ve ağ topolojisini anlamak için de kullanılır."
Ağ Saldırısı - Keşif,Port taraması nedir?,Hedef konak tespit edildikten sonra cihaz üzerinde hangi portların veya hizmetlerin açık olduğunun belirlenmesidir.,"Port taraması, bir ağ üzerindeki açık, kapalı veya filtrelenmiş portları belirlemek için kullanılan bir tekniktir. Bu işlem, ağ güvenlik açıklarını tespit etmek veya ağ yönetimi amacıyla gerçekleştirilir."
Ağ Saldırısı - Keşif,Zafiyet taraması için hangi araçlar kullanılır?,"Nipper, Secuna PSI, Core Impact, Nessus, SAINT ve Open VAS gibi araçlar kullanılır.","Zafiyet taraması için kullanılan araçlar arasında Nessus, OpenVAS, QualysGuard ve Rapid7 Nexpose bulunur. Bu araçlar, sistemlerdeki güvenlik açıklarını tespit etmek için yaygın olarak kullanılır."
Ağ Saldırısı - Erişim,Erişim saldırılarının temel hedefi nedir?,"Güvenlik açıklarından yararlanarak web hesaplarına, veritabanlarına veya hassas bilgilere yetkisiz giriş yapmaktır.","Erişim saldırılarının temel hedefi, yetkisiz kullanıcıların sistemlere, verilere veya ağ kaynaklarına erişim sağlamasıdır. Bu tür saldırılar, genellikle hassas bilgilerin çalınması veya sistemlerin manipüle edilmesi amacıyla gerçekleştirilir."
Ağ Saldırısı - Erişim,Parola saldırısı nedir?,Tehdit aktörünün çeşitli kırma araçları kullanarak kritik sistem parolalarını keşfetmeye çalışmasıdır.,"Parola saldırısı, bir saldırganın yetkisiz erişim sağlamak amacıyla bir kullanıcının parolasını tahmin etmeye veya kırmaya çalıştığı bir siber saldırı türüdür. Bu saldırılar genellikle brute force, sözlük saldırıları veya kimlik bilgisi doldurma gibi yöntemlerle gerçekleştirilir."
Ağ Saldırısı - Erişim,Aldatma (Spoofing) saldırısı nasıl gerçekleşir?,"Tehdit aktörünün cihazının, ağdaki başka bir cihaz gibi (IP, MAC vb. taklit ederek) davranmasıyla gerçekleşir.","Aldatma (Spoofing) saldırısı, bir saldırganın sahte bir kimlik veya veri kullanarak meşru bir kaynağı taklit etmesiyle gerçekleşir. Bu, IP adresi, e-posta adresi veya DNS gibi çeşitli protokollerin manipülasyonu yoluyla yapılabilir."
Ağ Saldırısı - Erişim,Güven istismarı (Trust Exploitation) saldırısı nedir?,"Hedefe doğrudan erişilemediğinde, hedefin güvendiği bir sistem üzerinden veya o sistem gibi davranarak saldırı yapılmasıdır.","Güven istismarı saldırısı, bir saldırganın hedef sistem veya kullanıcı ile önceden var olan güven ilişkisini kötüye kullanarak yetkisiz erişim veya veri elde etme girişimidir. Bu tür saldırılar genellikle sosyal mühendislik teknikleriyle desteklenir ve güvenilir görünen kaynaklardan gelen taleplerin manipülasyonunu içerir."
Ağ Saldırısı - Erişim,Ortadaki Adam (Man-in-the-middle) saldırısı nedir?,Saldırganın iletişim kuran iki sistem arasına sızarak verileri okuması veya değiştirmesidir.,"Ortadaki Adam (Man-in-the-middle) saldırısı, bir saldırganın iki taraf arasındaki iletişimi gizlice dinleyip manipüle ettiği, tarafların birbirleriyle doğrudan iletişim kurduğunu düşündüğü bir siber saldırı türüdür. Bu saldırı, genellikle veri çalma, kimlik doğrulama bilgilerini ele geçirme veya iletişimi değiştirme amacıyla gerçekleştirilir."
Ağ Saldırısı - Erişim,Arabellek taşması (Buffer Overflow) saldırısı sisteme nasıl zarar verir?,Arabelleğin kapasitesinden fazla veri ile doldurulması sonucu sistemin çalışmaz hale gelmesine veya çökmesine neden olur.,"Arabellek taşması saldırısı, bir programın bellekteki bir tamponun sınırlarını aşarak bitişik bellek alanlarına veri yazmasına neden olur, bu da potansiyel olarak kötü niyetli kodun çalıştırılmasına ve sistemin kontrolünün ele geçirilmesine yol açabilir. Bu tür saldırılar, bellek bozulmasına, veri sızıntısına ve sistem çökmesine neden olabilir."
DoS ve DDoS,Hizmet Reddi (DoS) saldırısının temel amacı nedir?,Hizmet sunan bir cihazın veya sunucunun işlevselliğini durdurmaktır.,"Hizmet Reddi (DoS) saldırısının temel amacı, hedef sistemin, ağın veya hizmetin aşırı yüklenmesine neden olarak meşru kullanıcıların erişimini engellemektir. Bu, genellikle hedefe aşırı miktarda trafik göndererek veya kaynakları tüketerek gerçekleştirilir."
DoS ve DDoS,DoS saldırılarının iki temel türü nedir?,Aşırı Miktarda Trafik ve Kötü Amaçlı Yapılandırılmış Paketler olmak üzere iki türü vardır.,"DoS saldırılarının iki temel türü, ""Hacim Tabanlı Saldırılar"" ve ""Protokol Tabanlı Saldırılar""dır. Hacim tabanlı saldırılar, bant genişliğini tüketmeyi hedeflerken, protokol tabanlı saldırılar, ağ veya sunucu kaynaklarını hedef alarak hizmeti kesintiye uğratmayı amaçlar."
DoS ve DDoS,Aşırı trafik miktarı ile yapılan DoS saldırısı nasıl çalışır?,Hedef cihaza karşılayamayacağı hızda veya miktarda veri gönderilerek sistemin yavaşlatılması veya çökertilmesidir.,"Aşırı trafik miktarı ile yapılan DoS saldırısı, hedef sistemin veya ağın kapasitesini aşacak şekilde çok sayıda istek göndererek kaynaklarını tüketir ve hizmet veremez hale getirir. Bu saldırı, genellikle botnet'ler veya kötü amaçlı yazılımlar kullanılarak gerçekleştirilir ve hedefin normal kullanıcılarına hizmet sunmasını engeller."
DoS ve DDoS,DDoS saldırısı nedir?,Zararlı yazılım bulaşmış çok sayıda cihazın (botnet) koordine edilerek tek bir hedefe dağıtılmış saldırı yapmasıdır.,"DDoS (Distributed Denial of Service) saldırısı, bir hedef sunucunun, hizmetin veya ağın aşırı miktarda trafikle doldurularak erişilemez hale getirilmesini amaçlayan bir siber saldırı türüdür. Bu saldırılar, genellikle birçok farklı kaynaktan gelen eşzamanlı isteklerle gerçekleştirilir ve hedefin normal işleyişini kesintiye uğratır."
DoS ve DDoS,DDoS saldırılarında 'Zombi' cihaz ne anlama gelir?,Zararlı yazılım yüklenmiş ve saldırgandan gelecek saldırı komutunu bekleyen enfekte cihazlardır.,"DDoS saldırılarında 'Zombi' cihaz, saldırgan tarafından ele geçirilmiş ve uzaktan kontrol edilen, saldırıyı gerçekleştirmek için kullanılan bilgisayardır. Bu cihazlar, botnet adı verilen bir ağın parçası olarak koordineli bir şekilde hedefe aşırı trafik gönderir."
DoS ve DDoS,Komuta Kontrol (C&C) sunucusunun DDoS saldırısındaki rolü nedir?,"Saldırganın, enfekte olmuş cihazlara (zombilere) saldırı emrini göndermek için kullandığı sunucudur.","Komuta Kontrol (C&C) sunucusu, DDoS saldırılarında botnet ağına bağlı cihazlara saldırı komutlarını ileterek koordinasyonu sağlar ve saldırının hedefe yönelik olarak senkronize bir şekilde gerçekleştirilmesine olanak tanır."
DoS ve DDoS,Mirai botnet saldırısının özelliği nedir?,"Sadece bilgisayarları değil, güvenlik açığı barındıran Nesnelerin İnterneti (IoT) cihazlarını da saldırı aracı olarak kullanmıştır.","Mirai botnet saldırısının özelliği, IoT cihazlarını varsayılan fabrika ayarlarında bırakılan zayıf veya varsayılan şifreler aracılığıyla ele geçirip, bu cihazları büyük ölçekli DDoS saldırıları gerçekleştirmek için kullanmasıdır. Bu saldırılar, hedef sistemlerin hizmet dışı kalmasına neden olacak kadar yüksek trafik hacmi oluşturabilir."
Sosyal Mühendislik,Sosyal mühendislik saldırısı nedir?,"İnsanların zafiyetlerini, yardım etme isteklerini veya korkularını kullanarak gizli bilgileri ele geçirme faaliyetleridir.","Sosyal mühendislik saldırısı, saldırganların insan psikolojisini manipüle ederek gizli bilgileri elde etmeye çalıştığı bir siber saldırı türüdür. Bu saldırılar genellikle e-posta, telefon veya yüz yüze iletişim yoluyla gerçekleştirilir."
Sosyal Mühendislik,Sosyal mühendislik saldırılarında en çok hedeflenen veri nedir?,Kullanıcıların kimlik bilgileri ve parolalarıdır.,"Sosyal mühendislik saldırılarında en çok hedeflenen veri, kullanıcıların kimlik bilgileri ve parolalarıdır. Bu bilgiler, saldırganların sistemlere yetkisiz erişim sağlamalarına olanak tanır."
Sosyal Mühendislik,Bahane Uydurma (Pretexting) tekniği nasıl uygulanır?,"Saldırganın, kimlik doğrulama bahanesiyle kişisel verilere ihtiyaç duyduğunu belirterek bilgi toplamasıdır.","Bahane uydurma (pretexting), sosyal mühendislikte hedef kişiyi kandırmak için sahte bir senaryo veya kimlik oluşturularak bilgi elde etme tekniğidir. Bu süreçte saldırgan, güven kazanmak amacıyla genellikle kurbanın güvenilir bir kaynağıymış gibi davranarak kişisel veya hassas bilgileri talep eder."
Sosyal Mühendislik,Oltalama (Phishing) saldırısı nedir?,"Kullanıcıları kandırarak kredi kartı ve banka hesap bilgileri gibi verileri elde etmek için yapılan, genellikle e-posta tabanlı saldırılardır.","Oltalama (Phishing) saldırısı, saldırganların kullanıcıları kandırarak hassas bilgilerini (şifreler, kredi kartı bilgileri vb.) ele geçirmek amacıyla sahte e-posta veya web siteleri kullanarak gerçekleştirdikleri bir sosyal mühendislik saldırısıdır. Bu tür saldırılar genellikle güvenilir bir kaynaktan geliyormuş gibi görünerek kullanıcıları yanıltmayı hedefler."
Sosyal Mühendislik,Yemleme Kancası (Spear Phishing) saldırısı nedir?,"Hedef hakkında detaylı araştırma yapıldıktan sonra, kişiye özel ve ilgisini çekecek içeriklerle yapılan oltalama saldırısıdır.","Yemleme Kancası (Spear Phishing) saldırısı, belirli bir bireyi veya kurumu hedef alan, kişiselleştirilmiş ve genellikle güvenilir görünen e-postalar veya mesajlar yoluyla hassas bilgileri ele geçirmeyi amaçlayan bir sosyal mühendislik saldırısıdır. Bu tür saldırılar, hedefin kişisel bilgileri veya iş ilişkileri hakkında önceden toplanmış veriler kullanılarak daha inandırıcı hale getirilir."
Sosyal Mühendislik,Quid Pro Quo (Bir şey için bir şey) saldırısı nedir?,'Hediye kazandınız' gibi vaatlerle kullanıcıyı zararlı bir siteye yönlendirmek veya yazılım yükletmektir.,"Quid Pro Quo saldırısı, saldırganın kurbanı bir hizmet veya bilgi karşılığında kişisel veya hassas bilgilerini ifşa etmeye ikna ettiği bir sosyal mühendislik tekniğidir. Bu tür saldırılar genellikle telefon veya e-posta yoluyla gerçekleştirilir ve saldırgan, kurbanın güvenini kazanarak bilgi elde etmeyi hedefler."
Sosyal Mühendislik,Tuzağa Düşürme (Baiting) saldırısı nasıl yapılır?,"Zararlı yazılım yüklü bir USB belleği kasıtlı olarak ortada bırakıp, meraklı bir kullanıcının bunu sisteme takmasını bekleyerek yapılır.","Tuzağa düşürme (baiting) saldırısı, saldırganın kurbanın ilgisini çekecek fiziksel veya dijital bir yem (örneğin, USB bellek veya sahte bir web sitesi) sunarak, kurbanın bu yemi kullanması sonucu zararlı yazılımın sisteme bulaşmasını veya hassas bilgilerin ele geçirilmesini hedefler. Bu saldırı genellikle kurbanın merakını veya açgözlülüğünü kullanarak, onu tehlikeli bir dosya veya bağlantıyı açmaya teşvik eder."
Uygulama Atakları,SQL Enjeksiyonu (SQL Injection) nedir?,Web uygulamasındaki SQL sorgularının içine kötü amaçlı komut veya kod parçacıkları enjekte edilmesidir.,"SQL enjeksiyonu, saldırganların bir uygulamanın veri tabanına zararlı SQL kodları enjekte ederek yetkisiz veri erişimi sağlamasına veya veri tabanını manipüle etmesine olanak tanıyan bir güvenlik açığıdır. Bu saldırı, genellikle kullanıcı girdilerinin yeterince doğrulanmadığı veya filtrelenmediği durumlarda ortaya çıkar."
Uygulama Atakları,SQL Enjeksiyonu saldırganın ne yapmasına olanak tanır?,"Veritabanındaki yetkisi olmayan tablolara erişmesine, verileri okumasına veya silmesine olanak tanır.","SQL enjeksiyonu, saldırganın bir uygulamanın veri tabanına zararlı SQL sorguları enjekte etmesine olanak tanır, bu da veri sızdırma, veri manipülasyonu veya yetkisiz erişim gibi güvenlik ihlallerine yol açabilir."
Uygulama Atakları,XSS (Cross Site Scripting) saldırısının amacı nedir?,Zafiyet barındıran web siteleri üzerinden kullanıcının tarayıcısına zararlı JavaScript veya HTML kodları enjekte etmektir.,"XSS (Cross Site Scripting) saldırısının amacı, bir web uygulamasına zararlı scriptler enjekte ederek kullanıcıların oturum bilgilerini çalmak, kullanıcı arayüzünü manipüle etmek veya kullanıcıların tarayıcılarında kötü niyetli işlemler gerçekleştirmektir. Bu saldırılar, genellikle kullanıcıların güvenilir bir kaynaktan geldiğini düşündükleri içeriklere zararlı kodların eklenmesi yoluyla gerçekleştirilir."
Uygulama Atakları,XSS saldırısı sonucunda saldırgan neleri ele geçirebilir?,"Tarayıcının kontrolünü ele geçirebilir, çerezleri (cookies) çalabilir veya tuş vuruşlarını kaydedebilir.","XSS saldırısı sonucunda saldırgan, hedef web sitesindeki kullanıcıların oturum çerezlerini, oturum kimliklerini ve diğer hassas bilgilerini ele geçirebilir. Ayrıca, kullanıcıların tarayıcılarında kötü amaçlı komutlar çalıştırarak kimlik avı veya zararlı yazılım dağıtımı gibi daha ileri saldırılar gerçekleştirebilir."
Gelişmiş Kalıcı Tehditler,Gelişmiş Kalıcı Tehdit (APT) nedir?,Gelişmiş teknikler kullanılarak sistemde uzun süre fark edilmeden kalmayı ve veri çalmayı amaçlayan organize saldırılardır.,"Gelişmiş Kalıcı Tehdit (APT), belirli bir hedefe yönelik, uzun süreli ve sürekli bir siber saldırı kampanyasıdır; genellikle devlet destekli gruplar tarafından, karmaşık teknikler kullanılarak bilgi çalmak veya sistemleri sabote etmek amacıyla gerçekleştirilir. Bu tür saldırılar, hedef sistemlere sızmak, kalıcı erişim sağlamak ve tespit edilmeden faaliyet göstermek için gelişmiş araçlar ve teknikler kullanır."
Gelişmiş Kalıcı Tehditler,APT saldırılarında zararlı yazılımın kalıcılığı nasıl sağlanır?,"Yazılım tespit edildiği noktada kapatılsa bile, sistemin diğer noktalarına kendini kurarak ve etkinleştirerek varlığını sürdürür.","APT saldırılarında zararlı yazılımın kalıcılığı, genellikle sistem başlangıç dosyalarına veya kayıt defterine eklenerek, planlanmış görevler oluşturularak ya da rootkitler kullanılarak sağlanır. Bu yöntemler, zararlı yazılımın sistem yeniden başlatıldığında da çalışmaya devam etmesini garanti eder."
Gelişmiş Kalıcı Tehditler,APT saldırılarının tespiti neden zordur?,Geleneksel güvenlik yaklaşımlarından kaçacak şekilde tasarlandıkları ve birden fazla atak vektörü kullandıkları için zordur.,"APT saldırılarının tespiti zordur çünkü bu saldırılar genellikle uzun süreli, hedefe özgü ve düşük profilli olup, gelişmiş teknikler kullanarak tespit sistemlerinden kaçınır. Ayrıca, saldırganlar sürekli olarak taktiklerini değiştirerek ve meşru trafik içine gizlenerek izlerini kaybettirirler."
Siber Ölüm Zinciri,Siber Ölüm Zinciri (Cyber Kill Chain) modeli neyi amaçlar?,Saldırının aşamalarını tanımlayarak tehdit aktörlerinin tekniklerini anlamayı ve savunmayı aşamalı olarak yapmayı amaçlar.,"Siber Ölüm Zinciri (Cyber Kill Chain) modeli, siber saldırıların aşamalarını tanımlayarak savunma stratejilerini geliştirmeyi ve saldırıları erken aşamada tespit edip durdurmayı amaçlar. Bu model, saldırı sürecini keşif, silahlandırma, teslimat, istismar, kurulum, komuta ve kontrol, ve hedeflere ulaşma aşamalarına ayırır."
Siber Ölüm Zinciri,Siber Ölüm Zincirinin 'Silahlanma' (Weaponization) aşaması nedir?,Keşif aşamasında bulunan zafiyete uygun olarak saldırı aracının (örneğin truva atı içeren dosya) hazırlandığı aşamadır.,"Silahlanma aşaması, saldırganların zararlı yazılım veya istismar kodunu hedef sistemlere yönelik bir saldırı paketi haline getirdiği süreçtir. Bu aşamada, genellikle bir zararlı yazılım veya istismar, bir taşıyıcı dosya veya belge ile birleştirilir."
Siber Ölüm Zinciri,Sıfırıncı gün (Zero-day) saldırısı nedir?,Henüz savunma mekanizmaları tarafından bilinmeyen ve yaması bulunmayan yeni güvenlik açıklarına yapılan saldırılardır.,"Sıfırıncı gün saldırısı, yazılım veya donanımdaki henüz keşfedilmemiş ve dolayısıyla yamalanmamış bir güvenlik açığından yararlanarak gerçekleştirilen bir siber saldırıdır. Bu tür saldırılar, savunmasız sistemlere hızlı ve etkili bir şekilde zarar verebilir çünkü üreticiler ve kullanıcılar bu açığın varlığından haberdar değildir."
Siber Ölüm Zinciri,Siber Ölüm Zincirinin 'İletim' (Delivery) aşaması nasıl gerçekleşir?,"Hazırlanan silahın (zararlı yazılımın) e-posta, USB veya web sayfaları yoluyla hedefe gönderilmesidir.","'İletim' aşaması, saldırganın hedefe zararlı yazılım veya istismar kodunu ulaştırdığı aşamadır ve genellikle e-posta ekleri, kötü amaçlı web siteleri veya USB bellekler gibi vektörler kullanılarak gerçekleştirilir. Bu aşama, saldırının hedef sistemde çalıştırılabilmesi için kritik bir adımdır."
Siber Ölüm Zinciri,Siber Ölüm Zincirinin 'Sömürü' (Exploitation) aşamasında ne olur?,Hedef sistemdeki güvenlik açığı kullanılarak zararlı kod çalıştırılır ve sistem üzerinde kontrol sağlanır.,"Sömürü aşamasında, saldırganlar hedef sistemdeki zafiyetleri kullanarak kötü amaçlı yazılımlarını çalıştırır veya yetkisiz erişim elde eder. Bu aşama, saldırının başarılı olması için kritik bir adımdır ve genellikle hedef sistemin kontrolünü ele geçirmek için kullanılır."
Saldırı Vektörleri,Saldırı yüzeyi (Attack Surface) kavramı neyi ifade eder?,Yetkisiz bir kullanıcının sisteme veri girmeye veya veri çıkarmaya çalışabileceği tüm noktaların toplamıdır.,"Saldırı yüzeyi, bir sistemin veya ağın potansiyel olarak saldırıya açık tüm giriş noktalarını ve zayıflıklarını ifade eder. Bu, saldırganların yetkisiz erişim veya veri ihlali gerçekleştirebileceği tüm fiziksel ve dijital bileşenleri kapsar."
Siber Savaş Örnekleri,2007 Estonya siber saldırısının tarihteki önemi nedir?,Dünyada bir devletin başka bir devlete karşı yaptığı ilk siber saldırı olarak kabul edilir.,"2007 Estonya siber saldırısı, bir ülkeye yönelik geniş çaplı ve koordineli bir siber saldırının ilk örneklerinden biri olarak kabul edilir ve siber savaşın uluslararası güvenlik gündeminde önemli bir yer edinmesine yol açmıştır. Bu saldırı, devlet destekli siber saldırıların potansiyel etkilerini ve ulusal altyapının siber güvenliğinin önemini vurgulamıştır."
Siber Savaş Örnekleri,Estonya saldırısında saldırganlar hangi yöntemi kullanmıştır?,Çok sayıda bilgisayarın kontrolünü ele geçirerek (Botnet) yapılan DDoS saldırı tekniğini kullanmışlardır.,"Estonya saldırısında saldırganlar, Dağıtılmış Hizmet Reddi (DDoS) saldırılarını kullanmışlardır. Bu saldırılar, Estonya'nın devlet, medya ve bankacılık sistemlerini hedef alarak hizmetlerin aksamasına neden olmuştur."
Siber Savaş Örnekleri,Stuxnet saldırısının (2010) asıl hedefi neydi?,İran'ın nükleer tesislerindeki uranyum zenginleştirme çalışmalarını engellemekti.,"Stuxnet saldırısının asıl hedefi, İran'ın Natanz'daki uranyum zenginleştirme tesislerinde kullanılan santrifüjleri sabote ederek nükleer programını yavaşlatmaktı. Bu, Siemens'in endüstriyel kontrol sistemlerini hedef alarak santrifüjlerin hızını kontrol dışı bir şekilde değiştirmek suretiyle gerçekleştirildi."
Siber Savaş Örnekleri,Stuxnet virüsü santrifüjlere nasıl zarar vermiştir?,Santrifüjlerin dönüş hızlarını değiştirerek fiziksel olarak bozulmalarına ve ömürlerinin azalmasına neden olmuştur.,"Stuxnet, santrifüjlerin kontrol sistemlerine sızarak, Siemens PLC'leri manipüle etmiş ve santrifüjlerin dönüş hızlarını kontrol dışı artırıp azaltarak mekanik stres yaratmış, bu da fiziksel hasara yol açmıştır. Ayrıca, bu süreçte operatörlere sistemin normal çalıştığına dair sahte veriler göstererek tespiti zorlaştırmıştır."
Siber Savaş Örnekleri,Stuxnet saldırısında mühendisler neden durumu fark edemedi?,"Virüs, SCADA ekranlarında önceden kaydedilmiş normal değerleri göstererek operatörleri yanıltmıştır.","Stuxnet, endüstriyel kontrol sistemlerini hedef alarak PLC'lerin (Programmable Logic Controller) normal çalışıyormuş gibi görünmesini sağladı ve bu sayede mühendisler anormal davranışları fark edemedi. Ayrıca, Stuxnet'in karmaşık ve çok katmanlı yapısı, tespit edilmesini zorlaştırarak saldırının uzun süre gizli kalmasına neden oldu."
Siber Savaş Örnekleri,Stuxnet virüsünün nükleer tesise nasıl bulaştığı düşünülmektedir?,İnternete kapalı olan sisteme bir USB bellek aracılığıyla bulaştırıldığı düşünülmektedir.,"Stuxnet virüsünün nükleer tesise, muhtemelen USB bellekler aracılığıyla fiziksel olarak taşınarak bulaştırıldığı düşünülmektedir. Bu yöntemle, internet bağlantısı olmayan sistemlere bile zararlı yazılımın sızdırılması sağlanmıştır."
